Topic,TimeQueried,video_title,video_id,publishedAt,duration,viewcount,likeCount,dislikeCount,favoriteCount,score
computer network,11:08:51:908,OSI Reference model in hindi | Computer network series,5n4xVMph3UA,(2017-11-26T21:12:58Z),PT6M58S,78645,1374,86,0,78644.96861459453
computer network,11:08:52:230,CN13: Backbone Network in Computer Network| Bus Backbone | Star Backbone | Connecting Remote LANs,wVFx0c2d86o,(2020-03-05T08:25:50Z),PT12M32S,695,12,2,0,694.8057896846843
computer network,11:08:52:548,STET COMPUTER SCIENCE 2019 // computer network part 1// #stetcomputerscience #stet2019exam,4AQeLsoDzdI,(2019-12-22T08:15:11Z),PT13M34S,13266,370,6,0,13265.848588009005
computer network,11:08:52:869,Network Layer in Computer Network | OSI Model Network Layer in Computer Networks in HINDI | CN GATE,gH9HopYJ7hI,(2018-10-16T12:00:09Z),PT7M35S,12332,217,15,0,12331.830297105034
computer network,11:08:53:187,Computer Networking Tutorial - 14 - Star Topology,EQ3rW22-Py0,(2012-12-13T03:37:38Z),PT5M52S,128962,1066,20,0,128961.9317936898
computer network,11:08:53:659,"Computer Networking Lesson #1 - Definition, Advantages/Disadvantages, Network Services",HEz1WYQO8Hs,(2017-03-18T09:36:13Z),PT13M42S,16676,141,23,0,16675.821211427246
computer network,11:08:53:878,Computer Networks.  Part Two: Network Hardware,maG8gHMLfl4,(2018-11-19T07:20:06Z),PT9M21S,2514,55,0,0,2513.8109302655384
computer network,11:08:54:147,Computer network|Network topology  in hindi Part-12(1) for competitive Exam,SJXTjSqjcLg,(2016-12-30T06:48:49Z),PT20M15S,302390,4275,264,0,302390.3154244796
computer network,11:08:54:538,IP for Class 12 | Computer Science for Class 12 | Networking For Class 12,68GX50R-vIM,(2018-07-03T19:10:55Z),PT34M39S,88668,1938,89,0,88668.0360398876
computer network,11:08:54:786,"Create LAN Network, Connecting Computer in Networking or share the resources",CGeAauny2fc,(2018-07-07T04:01:34Z),PT7M14S,464307,6273,390,0,464307.5542821667
computer network,11:08:55:198,OSI Reference  Model in Computer Network| Computer Network tutorial in hindi|zeenat hasan,7dfcJQB1Gqo,(2019-11-12T12:56:10Z),PT28M59S,5451,160,5,0,5450.823482846694
computer network,11:08:55:427,Switching Techniques in Computer Networks,-HlJ4psu5aU,(2019-11-19T13:00:01Z),PT12M35S,30863,724,9,0,30862.890908139754
computer network,11:08:55:749,Commercial Computer Network Cabling Part 1,AihLEEHsOOA,(2019-04-17T11:00:02Z),PT13M34S,16557,344,4,0,16556.845479750813
computer network,11:08:56:066,Ethernet Frame Format Explained in Hindi l Computer Network,GK_uF6cvrOY,(2020-06-01T03:10:27Z),PT10M19S,797,44,2,0,796.809615233227
computer network,11:08:56:386,Computer Networks Lecture 20 -- Error control and CRC,LL2QpP4k_HE,(2014-06-28T13:40:29Z),PT20M49S,230031,1381,44,0,230030.96945143328
computer network,11:08:56:706,Commercial Computer Network Cabling  Part 4,UzMBWvMQaZE,(2019-05-27T18:29:00Z),PT25M43S,7363,162,7,0,7362.823721943478
computer network,11:08:57:035,#IP address most easiest way in Hindi | #Computer Network | Computer Science Teacher study material,_t5ICNA7i_c,(2020-04-17T03:30:04Z),PT46M14S,2208,69,3,0,2207.812603943026
computer network,11:08:57:346,"Types of Computer Network( LAN,MAN,WAN) lec-4",srcQIU_puy0,(2019-11-06T13:19:53Z),PT10M57S,4333,158,8,0,4332.82324374991
computer network,11:08:57:666,Our Systems Have Detected Unusual Traffic from Your Computer Network FIX [Tutorial],pn4sr1nu_70,(2019-04-14T16:00:06Z),PT3M4S,18657,83,27,0,18656.814277620513
computer network,11:08:58:058,"Lec1.9: Routers in Computer Networks | Physical, data link and network layer device",JhBnOamc_8s,(2018-11-03T15:07:43Z),PT8M8S,89052,1688,31,0,89052.0061527896
computer network,11:08:58:308,Computer Network | Basic Computer | Computer Network &amp; Internet|  | Computer in Networking,J_OiFiamGnM,(2020-03-28T04:30:02Z),PT57M48S,8168,371,9,0,8167.848707557396
computer network,11:08:58:717,How to share Folder with another Computer in LAN Network? || Computer Sharing,KK9dksbVF5I,(2019-01-20T05:42:40Z),PT9M45S,200005,3315,210,0,200005.2006580233
computer network,11:08:58:945,Lec-4: Transport  Layer | Responsibilities of Transport  Layer | OSI Model | Computer Networks,kAty4mKczEg,(2018-04-18T08:20:17Z),PT16M11S,158490,3947,63,0,158490.27621260702
computer network,11:08:59:377,computer network uses | part-1/2,ng2rL1YBocg,(2018-04-20T09:57:53Z),PT10M40S,67267,522,21,0,67266.86675936458
computer network,11:08:59:597,Introduction to Computer Network | OSI MODEL in easiest Way in Hindi | Need of OSI model,4D55Cmj2t-A,(2018-03-23T06:55:59Z),PT22M8S,262119,5148,76,0,262119.41979022577
computer network,11:08:59:906,Occupational Video - Computer Network Administrator,bcMPKi1PZ-I,(2012-04-05T14:16:09Z),PT5M46S,183167,0,a,0,183166.804355104
computer network,11:09:00:226,Telnet protocol in hindi||Telnet protocol in computer network ||what is telnet ||easily explained,Tua7P4cVqTI,(2020-03-31T12:18:30Z),PT7M49S,705,27,0,0,704.8075829105637
computer network,11:09:00:546,What is Computer Network | Computer &amp; Networking Basics for Beginners | Computer Technology Course,7ew0Dpj7DFc,(2018-04-21T06:36:03Z),PT3M37S,4274,57,7,0,4273.811169362322
computer network,11:09:00:865,Computer Networks Lecture  19 -- Aloha and difference between Flow and access control,c39k2cIZU74,(2014-06-28T13:37:29Z),PT17M9S,216392,1085,57,0,216391.93406510926
computer network,11:09:01:184,NIC/NIELIT Most Expected Question Series | Computer Network | NIC Exam 2020,OaErM-GiXqc,(2020-04-19T10:08:28Z),PT44M50S,2992,122,6,0,2991.8189400077995
computer network,11:09:01:381,Computer Networking Tutorial - 20 - Switch,_VRToy-9SD0,(2015-05-31T22:21:43Z),PT3M50S,476748,2507,111,0,476748.1040629226
computer network,11:09:01:824,Computer Networking Tutorial - 19 - Router,FlUGN67D2Kk,(2015-05-31T22:21:39Z),PT4M44S,118696,765,21,0,118695.89580962382
computer network,11:09:02:235,"Unicast, Broadcast &amp; Multicast in Computer Networks",EcWhJbEWxHU,(2018-11-18T16:21:27Z),PT5M53S,53993,1021,49,0,53992.92641401217
computer network,11:09:02:465,&quot;INTERNETWORK&quot; IN COMPUTER NETWORK BY AYUSHI MAM,yKq0aVpxMOY,(2019-02-11T10:37:50Z),PT11M59S,5401,68,11,0,5400.812484394633
computer network,11:09:02:678,Computer Networking Tutorial - 1 - What is a Computer Network?,ueVnSz_lXEs,(2012-12-05T01:53:32Z),PT6M23S,847082,5602,143,0,847082.4740651957
computer network,11:09:02:896,Classful Ip Address | classful addressing in hindi | Computer Networks Lectures #03,Ls5FiDw0qW4,(2017-10-07T15:01:28Z),PT21M1S,63533,588,114,0,63532.87464955845
computer network,11:09:03:116,Lec2.5: Various Medium Access Control Protocols in Data Link Layer | Computer Networks,G0h0dC4Zycs,(2019-08-01T16:34:45Z),PT8M10S,70624,1814,29,0,70624.02121588698
computer network,11:09:03:424,Types of Network Topology - Data Communication and Networking Lectures in Hindi,nRZA5JLPhpI,(2018-02-19T13:31:54Z),PT24M15S,280688,3471,159,0,280688.21930757246
computer network,11:09:03:775,DAY 1 : Introduction To Computer Network With 155 Questions,NzeCauvlz30,(2020-04-14T12:03:13Z),PT1H4M25S,3262,74,2,0,3261.8132016849854
computer network,11:09:04:064,Solve Our systems have detected unusual traffic from your computer network,PWcxGtHTsmY,(2018-05-22T10:27:23Z),PT5M11S,104730,706,1161,0,104729.8887562687
computer network,11:09:04:376,"Network topology types (Bus, Star, Ring, Mesh, Hybrid, Logical, Physical) | TechTerms",e0CWszGpgAE,(2019-09-03T05:28:53Z),PT13M44S,63851,1845,43,0,63851.02492188714
computer network,11:09:04:585,Goals of Computer Networks - lecture 2/ Computer Networks,D5Oz7mc76bI,(2020-01-10T06:40:45Z),PT8M39S,2128,33,0,0,2127.8083002009153
computer network,11:09:04:798,Most Important Concepts of Computer Network PART 1 | CS &amp; IT | Sweta Kumari,cqYmejRbDmI,(2020-06-01T18:39:59Z),PT1H5M40S,1372,72,0,0,1371.8129625882016
computer network,11:09:05:600,Create Computer Network With Cisco Packet Tracer Part 1,q-UUbPk6fYo,(2015-01-12T20:11:05Z),PT13M17S,873077,2742,215,0,873077.1321567948
computer network,11:09:06:007,2.1 - Application Layer | FHU - Computer Networks,xJ9JTT2fXWk,(2018-01-18T21:23:40Z),PT39M57S,28237,270,7,0,28236.83663316981
computer network,11:09:06:415,Error and its detection method in Hindi | Computer network Lectures,Sriv-ftL_t8,(2018-11-26T13:32:59Z),PT7M51S,14102,163,6,0,14101.823841491869
computer network,11:09:06:821,Introduction to Networking | Network Fundamentals Part 1,cNwEVYkx2Kk,(2018-04-19T20:00:03Z),PT11M54S,695976,20912,260,0,695978.3043510765
computer network,11:09:07:300,Computer Networking Tutorial - 10 - What is a Protocol?,VlKks__ZhI0,(2012-12-11T11:37:04Z),PT4M45S,250546,2138,84,0,250546.05994956597
computer network,11:09:07:826,"Network topology and its types ( Bus ,Ring , Star , Mesh , Tree ) in Hindi | Computer networks",RUtDk6y8Jn0,(2018-11-26T10:45:20Z),PT12M55S,412214,10664,403,0,412215.07921915577
computer network,11:09:08:366,Design issues of layers | network software | Computer networks |  part - 2/3,IJV1fBcmaao,(2018-04-26T08:29:56Z),PT3M31S,34748,210,16,0,34747.82946026629
computer network,11:09:08:890,"Computer Network GATE Questions | Transport Layer, Data Link Layer, Network Layer | GATE 2019 CSE",kTLdpqwPDL4,(2018-11-11T11:30:00Z),PT15M21S,6802,78,12,0,6801.813679878554
computer network,11:09:09:194,Computer Network &amp; Internet complete notes Part - 1,vDQoGGCkVmA,(2016-11-18T13:49:29Z),PT39M47S,59710,953,50,0,59709.91828472151
computer network,11:09:09:999,&quot;TOKEN RING&quot; IN COMPUTER NETWORK BY AYUSHI MAM,UrpBEVqSU68,(2019-02-13T12:00:13Z),PT13M15S,14794,388,25,0,14793.85073988006
computer network,11:09:10:610,Computer Networks Lecture 5 -- Subnet Masking question,87TiQ6mIy9w,(2014-05-30T07:48:15Z),PT16M25S,288424,1316,60,0,288423.9616807878
computer network,11:09:10:824,Bit Rate and Baud Rate with example | Computer Network,NenUjmHUgTs,(2019-12-10T12:10:26Z),PT12M36S,2221,71,4,0,2220.8128430398096
computer network,11:09:11:425,types of errors | Computer networks |,UA-NKNqkWn8,(2018-05-31T08:34:40Z),PT9M28S,36307,323,21,0,36306.84296923458
computer network,11:09:11:832,Intro to Computer Networks - Crash Course,WO6P92v61y4,(2018-10-17T15:56:48Z),PT8M8S,31210,755,25,0,31209.894614139906
computer network,11:09:12:051,Lec 1.13: What is Message Switching In Computer Networks,T1rSrLPHLLI,(2018-11-26T17:15:20Z),PT5M56S,39587,864,20,0,39586.90764491463
computer network,11:09:12:851,NETWORK CLASSIFICATION || COMPUTER NETWORKS,NNm9TUGkAbA,(2019-08-09T05:07:19Z),PT13M4S,30364,473,23,0,30363.860901493375
computer network,11:09:13:461,"Computer Networks,Gate,Cisco",drSUQ-9CUdM,(2014-09-26T08:31:05Z),PT6M1S,49543,678,11,0,49542.885408913724
computer network,11:09:13:665,Lec 1.12: Datagram Switching Vs Virtul Circuit Switching in Packet Switching | Computer Networks,-S-NThI_79o,(2018-11-22T18:01:48Z),PT11M26S,72944,1657,29,0,72944.00244678945
computer network,11:09:14:072,Computer Network class - 4 || introduction to layered Architecture,uiTvMEokCEM,(2019-02-01T16:57:04Z),PT18M28S,1710,34,0,0,1709.8084197493074
computer network,11:09:14:480,Connecting your Windows 7 Computer to the Wi-fi Network.,O3Win53t7XY,(2013-08-01T13:48:02Z),PT2M18S,3459671,12581,3190,0,3459672.308393423
computer network,11:09:15:091,sliding window protocol in computer networks | sliding window protocol in hindi | #19,FM6PwfWwGEg,(2018-01-01T05:54:13Z),PT11M59S,70918,824,99,0,70917.90286297895
computer network,11:09:15:702,Computer Basics: Connecting to the Internet,hMX6dVa61t0,(2012-03-09T21:16:18Z),PT3M39S,550808,1508,260,0,550807.984634079
computer network,11:09:15:906,"SUBNETTING In Computer Network | How To Find Subnet Mask, Network ID, Host IP Address &amp; Broadcast ID",LdSAaSHfK3M,(2017-12-24T04:41:40Z),PT6M55S,133504,1892,90,0,133504.03054066157
computer network,11:09:16:313,Dijkstra&#39;s Algorithm with Example in Hindi | Routing Algorithms| part 1| Computer Network Lectures,KNTxtgKuTMI,(2018-11-27T16:31:48Z),PT12M2S,36475,352,55,0,36474.84643613795
computer network,11:09:16:721,Connection Oriented vs Connectionless in Hindi | computer network series,JKGJCmbZmeI,(2017-11-27T07:01:23Z),PT8M50S,48191,803,47,0,48190.90035246272
computer network,11:09:17:179,Introduction To OSI Model ll Computer Network Course Explained in Hindi,61A6iwJL3fw,(2019-06-18T13:12:18Z),PT9M15S,6647,242,3,0,6646.833285814834
computer network,11:09:17:583,CRC | Cyclic Redundancy Check | Example |Computer Network,NIjtbXnezok,(2019-12-14T11:58:56Z),PT15M24S,1098,35,1,0,1097.8085392976993
computer network,11:09:17:820,COMPUTER:Network or internet (नेटवर्क और इंटरनेट)Delhi Police computer Live class।DP HC online class,Yt5JbmXpfKg,(2020-01-22T09:30:32Z),PT25M1S,6655,538,5,0,6654.868672138852
computer network,11:09:18:243,07 - NETWORK LAYER (OSI LAYERS) - COMPUTER NETWORKS,XRlg0GR4p-8,(2020-03-17T16:56:00Z),PT17M10S,1592,40,0,0,1591.8091370396592
computer network,11:09:18:463,TCP IP reference model | Computer Networks |,JHJQ6Ke2mYU,(2018-05-10T18:50:57Z),PT8M36S,149308,1622,139,0,149307.99826259573
computer network,11:09:18:778,Computer Networks Lecture 4 -- variable lenght subnet masking (VLSM),GJrS5ckgjAs,(2014-05-30T07:21:56Z),PT24M44S,340816,1687,63,0,340816.0060332412
computer network,11:09:19:123,computer network part 1 - it officer [Hindi],XzpWgAbIew8,(2016-12-30T14:26:50Z),PT34M18S,106777,1569,50,0,106776.99192653096
computer network,11:09:19:342,Networking mcq questions and answers pdf | Computer Network multiple choice objective type,tpiJfYCHQsg,(2020-06-22T23:52:28Z),PT9M58S,1398,48,3,0,1397.8100934267948
computer network,11:09:19:783,1.01 - Introduction to Computer Network,IOlmoKb_BCo,(2018-05-05T05:14:02Z),PT14M12S,30426,164,14,0,30425.82396104026
computer network,11:09:20:065,4.1 - Network Layer Introduction | FHU - Computer Networks,stHJtWOGLFs,(2018-02-09T22:17:59Z),PT7M2S,26433,189,8,0,26432.82694975006
computer network,11:09:20:259,Components of computer network - lecture 3/ computer network,ISu2O_BrKeQ,(2020-01-11T04:08:19Z),PT9M10S,2077,37,2,0,2076.8087783944834
computer network,11:09:20:457,propagation delay in hindi | propagation delay computer networks | Computer Network GATE lecture #16,iNwma8I1KZg,(2017-11-14T11:05:20Z),PT7M7S,19772,222,12,0,19771.830894846993
computer network,11:09:20:697,Static Flooding Shortest Path in Hindi | Routing Algorithms | Part 2 | Computer Network Lectures,hcXxnG1T3pE,(2018-11-27T16:32:24Z),PT10M16S,8854,119,8,0,8853.818581362624
computer network,11:09:21:017,Important topic of computer network | Computer Science | Unacademy Live - NTA UGC NET | Nisha Mittal,SEtC_qljVNo,(2019-12-09T16:47:40Z),PT1H1M56S,1436,35,2,0,1435.8085392976993
computer network,11:09:21:339,Internet Control Message Protocol (ICMP) Explained in Hindi l Computer Network Course,241lPGbXsHo,(2020-06-25T10:05:03Z),PT9M59S,547,47,3,0,546.8099738784027
computer network,11:09:21:658,"Network Devices Explained | Hub, Bridge, Router, Switch",eMamgWllRFY,(2016-05-19T16:50:25Z),PT6M12S,215539,2460,64,0,215539.0984441482
computer network,11:09:21:977,"Types of Networks (PAN, LAN, MAN, WAN) in Hindi",mYG3R2e1w5M,(2017-08-19T08:21:02Z),PT6M38S,134848,2989,143,0,134848.16168524753
computer network,11:09:22:299,कंप्यूटर भाग 5 | Employability Skills Class 06 | एम्प्लॉयबिलिटी स्किल्स | Computer Network,vE-6pyNDkms,(2019-03-18T12:03:51Z),PT29M21S,12052,492,13,0,12051.863172912823
computer network,11:09:22:642,"Computer Networking Tutorial for Beginners, Cisco, Juniper, Basics Network Fundamentals",svkGASq8mNM,(2016-11-18T06:50:48Z),PT2H59M,1463232,20464,432,0,1463234.250793397
computer network,11:09:22:862,1.3 - Network Core | FHU - Computer Networks,OlbQ88lx7J0,(2018-01-18T21:04:37Z),PT30M30S,23887,208,14,0,23886.829221169508
computer network,11:09:23:301,WHAT IS BRIDGE IN NETWORKING| Features of Bridge in computer network with live example | 2017,OBlJ3QuEt9k,(2017-11-22T18:27:41Z),PT3M29S,183350,2482,232,0,183350.1010742128
computer network,11:09:23:577,Computer Networks Lecture 9 -- Supernetting or aggregation,MnqP_TVwkbs,(2014-06-02T08:35:21Z),PT30M17S,196100,1023,41,0,196099.92665310894
computer network,11:09:23:779,error detection and correction | computer networks |,crrdZx6u6MQ,(2018-05-31T09:06:37Z),PT8M46S,83940,628,60,0,83939.87943149413
computer network,11:09:24:217,OSI Model : Network Layer Explained in Hindi ll Computer Networks Course,f67UpCK6stE,(2019-06-30T04:25:47Z),PT7M35S,3457,132,1,0,3456.8201354917187
computer network,11:09:24:593,Lec4.7: UDP (User Datagram Protocol) header in Computer Networks in Hindi,HF_znV8x9a0,(2018-04-24T14:21:07Z),PT11M48S,107054,1749,28,0,107054.01344524151
computer network,11:09:24:856,Commercial Computer Network Cabling Part 3,ciCuGPoxBT0,(2019-05-23T22:54:02Z),PT14M32S,7763,149,5,0,7762.822167814382
computer network,11:09:25:176,CRC(Cyclic Redundancy Check) in Hindi || Computer Network || BCS-041 || MCS-042,d6LxWVT5JX8,(2018-05-28T19:53:33Z),PT13M30S,23325,455,18,0,23324.85874962232
computer network,11:09:25:496,Computer Networks - Basic Characteristics,m8eNwVel5xI,(2019-11-04T12:30:04Z),PT8M57S,40711,728,6,0,40710.89138633332
computer network,11:09:25:817,CN4: Network Structure and Architecture in Computer Networks| Network Topology and its Type,M8putkwe1Bs,(2020-02-14T10:30:04Z),PT14M56S,1371,28,0,0,1370.8077024589556
computer network,11:09:26:135,Client Server and Peer to Peer Architecture lec-3  in Computer Network,Z6yBK0T5zr8,(2019-11-04T10:49:13Z),PT9M30S,5358,208,8,0,5357.829221169507
computer network,11:09:26:456,1.2 - Network Edge | FHU - Computer Networks,tEMB7iAygWo,(2018-01-18T20:54:27Z),PT10M10S,27263,211,15,0,27262.829579814683
computer network,11:09:26:820,Protocols and Standards In Computer Networks - Introduction to Computer Network,QYkuLSrvt_8,(2018-04-12T09:30:00Z),PT9M58S,6752,116,8,0,6751.8182227174475
computer network,11:09:27:103,Computer Networking Tutorial - 7 - Servers,8PgOSG_z2dc,(2012-12-07T09:56:11Z),PT3M59S,202328,1469,20,0,202327.97997169176
computer network,11:09:27:480,Difference between Broadcast and Multicast in Computer Network in Hindi,P8qV67YKE30,(2019-11-10T11:54:51Z),PT11M14S,1882,73,1,0,1881.8130821365935
computer network,11:09:27:734,Network Security &amp; Problem Solving | GATE CS 2020 | Computer Networks | Gradeup,ZryC0045dFc,(2020-01-08T14:42:04Z),PT1H34M4S,4730,115,6,0,4729.818103169056
computer network,11:09:28:141,How To Score 60+ in CN (COMPUTER NETWORK) in just 1 Day - SEM 5 COMPUTERS,A4KnAed_yCs,(2019-10-29T08:34:27Z),PT8M55S,4076,80,3,0,4075.8139189753374
computer network,11:09:28:738,NIC/NIELIT Previous Year Questions &amp; Solutions | Computer Network | NIC Scientist &#39;B&#39; Paper Solution,6U6LZ2E2Lac,(2020-04-07T02:50:50Z),PT36M26S,13147,372,13,0,13146.848827105789
computer network,11:09:29:015,"Lec1.1:Topologies in Computer Networks |Part 1 | All imp points of Mesh,Star,Hub,Bus,Hybrid",uDulBxDb7GM,(2018-11-13T13:01:48Z),PT10M43S,99151,1675,21,0,99151.00459866051
computer network,11:09:29:334,Computer Networks Lecture 8 -- Some interesting problems on subnet mask,O-8MYVVKpk8,(2014-06-02T07:49:13Z),PT28M1S,166697,602,16,0,166696.87632323595
computer network,11:09:29:654,Computer Networks,Bvdz24orMhQ,(2018-05-30T10:10:42Z),PT12M30S,41480,290,20,0,41479.83902413765
computer network,11:09:29:974,Computer Networking Tutorial - 5 - Parts of a Network,A7_BSqR2Le4,(2012-12-07T09:10:05Z),PT3M17S,201883,1456,18,0,201882.97841756267
computer network,11:09:30:295,Network Devices | Computer Network | CBSE Class 12 | Computer Science,f8LHiZM-5bg,(2020-07-31T04:30:02Z),PT15M5S,169,10,0,0,168.80555058790048
computer network,11:09:30:614,&quot;ROUTER &amp; GATEWAY&quot; IN COMPUTER NETWORK BY AYUSHI MAM,0zmJtTULafU,(2019-02-11T10:40:35Z),PT9M54S,3238,93,8,0,3237.815473104433
computer network,11:09:31:003,Our systems have detected unusual traffic from your computer network || Google search problem solve,FJN6HnCTjME,(2018-10-11T10:17:46Z),PT3M,140047,460,380,0,140046.85934736428
computer network,11:09:31:253,user datagram protocol (UDP) | Networking | Bhanu Priya,rih2IV-BZdQ,(2018-12-28T14:42:52Z),PT5M32S,54967,583,42,0,54966.87405181649
computer network,11:09:31:659,Lec2.4: Cyclic Redundancy Check(CRC)  for Error Detection and Correction  | Computer Networks,5Q-Yv6_0Qcw,(2018-12-01T06:52:45Z),PT12M42S,185748,3786,98,0,185748.25696531593
computer network,11:09:31:894,Building Your Own Network for a Computer Lab,dIFKmJ4wufc,(2013-02-15T17:40:35Z),PT17M5S,1144779,7669,229,0,1144779.7211717218
computer network,11:09:32:318,Mesh Topology (Computer Network),FLbT73cmsk8,(2019-02-24T14:11:53Z),PT4M23S,7875,139,10,0,7874.820972330463
computer network,11:09:32:538,COMPUTER NETWORK: ALOHA PROTOCOL| tutorial-32,veoHyi3OUco,(2019-04-11T06:21:14Z),PT7M22S,4046,44,4,0'},4045.809615233227
